제한시간,맵크기,커버리지,연산횟수,방향전환,소요시간
100,240,21.8,221,19,100
100,240,24,222,20,100
100,323,17.9,235,26,103
100,255,25.3,225,23,100
100,228,24.4,229,25,101
100,225,30.7,231,26,101
100,238,36.8,223,21,100
100,255,23.3,218,16,100
100,255,20,223,21,100
100,170,20.9,234,29,100
100,204,24.5,223,21,100
100,285,25.8,220,18,100
100,240,29.2,228,25,100
100,304,28.9,222,20,100
100,247,35.6,219,17,100
200,240,53.4,456,45,200
200,240,44.2,453,42,200
200,323,21,488,65,200
200,255,37,475,58,201
200,228,42.3,460,48,200
200,225,43.3,464,50,200
200,238,61.8,471,49,204
200,255,37.7,449,39,200
200,255,39.3,453,42,200
200,170,28.6,475,59,200
200,204,34.5,463,49,200
200,285,50.3,445,36,200
200,240,36.2,464,50,200
200,304,38.3,448,38,200
200,247,54.8,455,40,202
300,240,58.6,693,68,300
300,240,57.4,683,63,300
300,323,23.1,742,100,300
300,255,45.2,712,81,300
300,228,52.8,698,72,300
300,225,52,729,92,300
300,238,63.2,695,70,300
300,255,43.2,678,61,300
300,255,46.2,683,63,300
300,170,42.9,721,87,300
300,204,35.5,698,72,300
300,285,55,681,59,303
300,240,37.7,697,70,301
300,304,40,664,50,300
300,247,61.5,678,61,300
400,240,58.6,925,89,400
400,240,63.6,917,84,400
400,323,23.1,991,143,400
400,255,54.8,962,115,400
400,228,56.9,925,89,400
400,225,52.8,956,111,400
400,238,66.9,932,94,400
400,255,48.6,904,76,400
400,255,52.4,926,86,403
400,170,52.7,955,107,402
400,204,64.5,927,91,400
400,285,56.3,955,109,401
400,240,39.2,941,99,400
400,304,42.2,897,70,401
400,247,67.4,914,82,400
500,240,75.9,1150,104,501
500,240,66.7,1149,105,500
500,323,23.1,1251,186,501
500,255,58.2,1201,147,502
500,228,56.9,1157,112,500
500,225,52.8,1187,139,500
500,238,71.3,1163,116,500
500,255,60.3,1142,100,500
500,255,59.3,1157,112,500
500,170,52.7,1198,148,500
500,204,64.5,1149,105,500
500,285,56.3,1228,168,500
500,240,43.1,1170,119,502
500,304,42.2,1125,89,500
500,247,69.6,1142,100,500
600,240,78.9,1368,121,600
600,240,67.4,1380,132,600
600,323,23.1,1489,215,600
600,255,69.9,1438,175,600
600,228,56.9,1383,135,600
600,225,52.8,1432,171,600
600,238,72.1,1388,140,600
600,255,74,1375,126,601
600,255,59.3,1388,140,600
600,170,52.7,1462,190,604
600,204,64.5,1385,137,600
600,285,56.3,1496,217,602
600,240,43.1,1394,144,600
600,304,42.2,1349,105,600
600,247,71.9,1368,121,600
700,240,78.9,1621,157,704
700,240,69.8,1599,149,700
700,323,32.8,1741,253,700
700,255,71.2,1660,195,700
700,228,56.9,1629,169,700
700,225,54.3,1677,202,703
700,238,80.9,1628,168,700
700,255,77.4,1631,169,701
700,255,59.3,1636,173,700
700,170,52.7,1698,222,700
700,204,64.5,1630,169,700
700,285,56.3,1775,277,700
700,240,43.1,1632,171,700
700,304,46.1,1569,122,700
700,247,71.9,1597,147,700
800,240,78.9,1849,184,801
800,240,71.3,1843,180,800
800,323,32.8,1986,284,800
800,255,74,1890,214,801
800,228,56.9,1871,202,800
800,225,55.9,1935,246,801
800,238,80.9,1855,191,800
800,255,77.4,1853,189,800
800,255,69,1872,203,800
800,170,52.7,1948,258,800
800,204,64.5,1872,203,800
800,285,56.3,2037,323,801
800,240,50.8,1859,194,800
800,304,46.1,1799,149,800
800,247,71.9,1833,172,800
900,240,78.9,2088,214,900
900,240,72.1,2073,204,900
900,323,32.8,2231,319,900
900,255,74,2136,248,900
900,228,58.5,2097,219,901
900,225,56.7,2171,274,900
900,238,80.9,2087,211,901
900,255,77.4,2080,208,900
900,255,78.6,2101,212,903
900,170,68.1,2154,253,900
900,204,57.3,2138,237,904
900,285,27.8,2382,424,900
900,240,62.3,2100,215,900
900,304,82.8,2069,194,900
900,247,65.9,2047,178,900
1000,240,63.2,2290,209,1000
1000,240,63.6,2356,254,1000
1000,323,64.6,2351,251,1000
1000,255,54.8,2356,254,1000
1000,228,63.4,2322,230,1000
1000,225,55.1,2342,245,1000
1000,238,71.3,2339,242,1000
1000,255,78.8,2323,231,1000
1000,255,78.6,2350,249,1002
1000,170,68.1,2412,294,1000
1000,204,57.3,2380,269,1001
1000,285,27.8,2643,470,1001
1000,240,66.9,2348,247,1002
1000,304,86.7,2291,210,1000
1000,247,73.3,2274,198,1000
