맵크기,커버리지,연산횟수,방향전환,소요시간
240,90.2,8839,886,3834
240,90.7,7260,780,3117
323,90.3,20277,2506,8462
255,90.4,4703,517,2016
228,90.2,28201,3281,11904
225,90.6,7980,1020,3314
238,90.4,7048,736,3041
255,90.4,9077,934,3923
255,90.3,12125,1255,5233
170,90.1,10059,1274,4187
204,90.9,55489,6718,23229
285,90.1,16868,2656,6655
240,90.8,14830,1820,6194
304,90.6,12101,1166,5275
247,90.4,5980,584,2611
240,90.2,8839,886,3834
240,90.7,7260,780,3117
323,90.3,20277,2506,8462
255,90.4,4703,517,2016
228,90.2,28201,3281,11904
225,90.6,7980,1020,3314
238,90.4,7048,736,3041
255,90.4,9077,934,3923
255,90.3,12125,1255,5233
170,90.1,10059,1274,4187
204,90.9,55489,6718,23229
285,90.1,16868,2656,6655
240,90.8,14830,1820,6194
304,90.6,12101,1166,5275
247,90.4,5980,584,2611
240,90.2,8839,886,3834
240,90.7,7260,780,3117
323,90.3,20277,2506,8462
255,90.4,4703,517,2016
228,90.2,28201,3281,11904
225,90.6,7980,1020,3314
238,90.4,7048,736,3041
255,90.4,9077,934,3923
255,90.3,12125,1255,5233
170,90.1,10059,1274,4187
204,90.9,55489,6718,23229
285,90.1,16868,2656,6655
240,90.8,14830,1820,6194
304,90.6,12101,1166,5275
247,90.4,5980,584,2611
240,90.2,8839,886,3834
240,90.7,7260,780,3117
323,90.3,20277,2506,8462
255,90.4,4703,517,2016
228,90.2,28201,3281,11904
225,90.6,7980,1020,3314
238,90.4,7048,736,3041
255,90.4,9077,934,3923
255,90.3,12125,1255,5233
170,90.1,10059,1274,4187
204,90.9,55489,6718,23229
285,90.1,16868,2656,6655
240,90.8,14830,1820,6194
304,90.6,12101,1166,5275
247,90.4,5980,584,2611
240,90.2,8839,886,3834
240,90.7,7260,780,3117
323,90.3,20277,2506,8462
255,90.4,4703,517,2016
228,90.2,28201,3281,11904
225,90.6,7980,1020,3314
238,90.4,7048,736,3041
255,90.4,9077,934,3923
255,90.3,12125,1255,5233
170,90.1,10059,1274,4187
204,90.9,55489,6718,23229
285,90.1,16868,2656,6655
240,90.8,14830,1820,6194
304,90.6,12101,1166,5275
247,90.4,5980,584,2611
240,90.2,8839,886,3834
240,90.7,7260,780,3117
323,90.3,20277,2506,8462
255,90.4,4703,517,2016
228,90.2,28201,3281,11904
225,90.6,7980,1020,3314
238,90.4,7048,736,3041
255,90.4,9077,934,3923
255,90.3,12125,1255,5233
170,90.1,10059,1274,4187
204,90.9,59459,6948,25072
285,90.1,17829,2603,7161
240,90.8,10487,1246,4414
304,90.6,13053,1204,5726
247,90.4,53223,5214,23118
240,90.2,9768,1016,4204
240,90.7,6398,677,2745
323,90.3,26190,3044,11044
255,90.4,5455,580,2338
228,90.2,17007,1815,7294
225,90.6,42824,5444,17762
238,90.4,16458,1817,7018
255,90.4,4140,373,1822
255,90.3,15465,1597,6673
170,90.1,5916,703,2486
204,90.9,59459,6948,25072
285,90.1,17829,2603,7161
240,90.8,10487,1246,4414
304,90.6,13053,1204,5726
247,90.4,53223,5214,23118
240,90.2,9768,1016,4204
240,90.7,6398,677,2745
323,90.3,26190,3044,11044
255,90.4,5455,580,2338
228,90.2,17007,1815,7294
225,90.6,42824,5444,17762
238,90.4,16458,1817,7018
255,90.4,4140,373,1822
255,90.3,15465,1597,6673
170,90.1,5916,703,2486
204,90.9,59459,6948,25072
285,90.1,17829,2603,7161
240,90.8,10487,1246,4414
304,90.6,13053,1204,5726
247,90.4,53223,5214,23118
240,90.2,9768,1016,4204
240,90.7,6398,677,2745
323,90.3,26190,3044,11044
255,90.4,5455,580,2338
228,90.2,17007,1815,7294
225,90.6,42824,5444,17762
238,90.4,16458,1817,7018
255,90.4,4140,373,1822
255,90.3,15465,1597,6673
170,90.1,5916,703,2486
204,90.9,59459,6948,25072
285,90.1,17829,2603,7161
240,90.8,10487,1246,4414
304,90.6,13053,1204,5726
247,90.4,53223,5214,23118
240,90.2,9768,1016,4204
240,90.7,6398,677,2745
323,90.3,26190,3044,11044
255,90.4,5455,580,2338
228,90.2,17007,1815,7294
225,90.6,42824,5444,17762
238,90.4,16458,1817,7018
255,90.4,4140,373,1822
255,90.3,15465,1597,6673
170,90.1,5916,703,2486
204,90.9,59459,6948,25072
285,90.1,17829,2603,7161
240,90.8,10487,1246,4414
304,90.6,13053,1204,5726
247,90.4,53223,5214,23118
