제한시간,맵크기,커버리지,연산횟수,방향전환,소요시간
100,240,50.4,276,29,100
100,240,38,282,35,100
100,323,28.7,285,32,101
100,255,34.9,296,27,100
100,228,43.9,283,32,100
100,225,33.9,304,27,100
100,238,37.5,308,21,100
100,255,48.6,278,28,101
100,255,29.7,310,24,100
100,170,71.4,278,29,100
100,204,50.9,289,30,101
100,285,29.1,295,31,100
100,240,33.1,284,37,100
100,304,31.7,292,26,100
100,247,38.5,291,29,100
200,240,88,566,59,200
200,240,72.9,579,64,200
200,323,53.3,573,62,200
200,255,78.8,582,54,201
200,228,77.2,578,64,200
200,225,74,599,54,200
200,238,69.9,608,49,200
200,255,71.2,585,56,200
200,255,58.6,616,50,200
200,170,91.2,608,55,200
200,204,82.7,602,56,201
200,285,62.9,584,61,200
200,240,53.8,587,72,200
200,304,55,592,55,200
200,247,65.9,594,59,200
300,240,100,672,70,236
300,240,100,884,92,299
300,323,85.1,847,94,300
300,255,92.5,888,89,300
300,228,100,792,83,270
300,225,100,856,81,286
300,238,92.6,931,72,300
300,255,82.9,910,85,300
300,255,100,892,76,297
300,170,100,750,68,244
300,204,100,813,73,267
300,285,91.4,883,92,301
300,240,86.9,894,97,300
300,304,74.4,915,78,301
300,247,100,820,79,278
400,240,100,672,70,236
400,240,100,884,92,299
400,323,89.2,1179,124,400
400,255,100,1081,105,359
400,228,100,792,83,270
400,225,100,856,81,286
400,238,93.4,1102,77,400
400,255,100,1115,102,366
400,255,100,892,76,297
400,170,100,750,68,244
400,204,100,813,73,267
400,285,100,1012,101,341
400,240,100,963,106,326
400,304,100,1189,98,391
400,247,100,820,79,278
500,240,100,672,70,236
500,240,100,884,92,299
500,323,94.4,1497,160,500
500,255,100,1081,105,359
500,228,100,792,83,270
500,225,100,856,81,286
500,238,93.4,1202,77,500
500,255,100,1115,102,366
500,255,100,892,76,297
500,170,100,750,68,244
500,204,100,813,73,267
500,285,100,1012,101,341
500,240,100,963,106,326
500,304,100,1189,98,391
500,247,100,820,79,278
600,240,100,672,70,236
600,240,100,884,92,299
600,323,100,1604,169,534
600,255,100,1081,105,359
600,228,100,792,83,270
600,225,100,856,81,286
600,238,93.4,1302,77,600
600,255,100,1115,102,366
600,255,100,892,76,297
600,170,100,750,68,244
600,204,100,813,73,267
600,285,100,1012,101,341
600,240,100,963,106,326
600,304,100,1189,98,391
600,247,100,820,79,278
700,240,100,672,70,236
700,240,100,884,92,299
700,323,100,1604,169,534
700,255,100,1081,105,359
700,228,100,792,83,270
700,225,100,856,81,286
700,238,93.4,1402,77,700
700,255,100,1115,102,366
700,255,100,892,76,297
700,170,100,750,68,244
700,204,100,813,73,267
700,285,100,1012,101,341
700,240,100,963,106,326
700,304,100,1189,98,391
700,247,100,820,79,278
800,240,100,672,70,236
800,240,100,884,92,299
800,323,100,1604,169,534
800,255,100,1081,105,359
800,228,100,792,83,270
800,225,100,856,81,286
800,238,93.4,1502,77,800
800,255,100,1115,102,366
800,255,100,892,76,297
800,170,100,750,68,244
800,204,100,813,73,267
800,285,100,1012,101,341
800,240,100,963,106,326
800,304,100,1189,98,391
800,247,100,820,79,278
900,240,100,672,70,236
900,240,100,884,92,299
900,323,100,1604,169,534
900,255,100,1081,105,359
900,228,100,792,83,270
900,225,100,856,81,286
900,238,93.4,1602,77,900
900,255,100,1115,102,366
900,255,100,892,76,297
900,170,100,750,68,244
900,204,100,813,73,267
900,285,100,1012,101,341
900,240,100,963,106,326
900,304,100,1189,98,391
900,247,100,820,79,278
1000,240,100,672,70,236
1000,240,100,884,92,299
1000,323,100,1604,169,534
1000,255,100,1081,105,359
1000,228,100,792,83,270
1000,225,100,856,81,286
1000,238,93.4,1702,77,1000
1000,255,100,1115,102,366
1000,255,100,892,76,297
1000,170,100,750,68,244
1000,204,100,813,73,267
1000,285,100,1012,101,341
1000,240,100,963,106,326
1000,304,100,1189,98,391
1000,247,100,820,79,278
