맵크기,커버리지,연산횟수,방향전환,소요시간
240,90.2,607,61,212
240,90.7,710,75,244
323,90.3,1247,131,421
255,90.4,723,73,250
228,90.2,668,71,230
225,90.6,714,66,240
238,90.4,772,63,255
255,90.4,1061,96,346
255,90.3,834,68,275
170,90.1,605,55,199
204,90.9,775,69,253
285,90.1,811,83,278
240,90.8,917,101,309
304,90.6,1014,84,336
247,90.4,765,73,258
240,90.2,607,61,212
240,90.7,710,75,244
323,90.3,1247,131,421
255,90.4,723,73,250
228,90.2,668,71,230
225,90.6,714,66,240
238,90.4,772,63,255
255,90.4,1061,96,346
255,90.3,834,68,275
170,90.1,605,55,199
204,90.9,775,69,253
285,90.1,811,83,278
240,90.8,917,101,309
304,90.6,1014,84,336
247,90.4,765,73,258
240,90.2,607,61,212
240,90.7,710,75,244
323,90.3,1247,131,421
255,90.4,723,73,250
228,90.2,668,71,230
225,90.6,714,66,240
238,90.4,772,63,255
255,90.4,1061,96,346
255,90.3,834,68,275
170,90.1,605,55,199
204,90.9,775,69,253
285,90.1,811,83,278
240,90.8,917,101,309
304,90.6,1014,84,336
247,90.4,765,73,258
240,90.2,607,61,212
240,90.7,710,75,244
323,90.3,1247,131,421
255,90.4,723,73,250
228,90.2,668,71,230
225,90.6,714,66,240
238,90.4,772,63,255
255,90.4,1061,96,346
255,90.3,834,68,275
170,90.1,605,55,199
204,90.9,775,69,253
285,90.1,811,83,278
240,90.8,917,101,309
304,90.6,1014,84,336
247,90.4,765,73,258
240,90.2,607,61,212
240,90.7,710,75,244
323,90.3,1247,131,421
255,90.4,723,73,250
228,90.2,668,71,230
225,90.6,714,66,240
238,90.4,772,63,255
255,90.4,1061,96,346
255,90.3,834,68,275
170,90.1,605,55,199
204,90.9,775,69,253
285,90.1,811,83,278
240,90.8,917,101,309
304,90.6,1014,84,336
247,90.4,765,73,258
240,90.2,607,61,212
240,90.7,710,75,244
323,90.3,1247,131,421
255,90.4,723,73,250
228,90.2,668,71,230
225,90.6,714,66,240
238,90.4,772,63,255
255,90.4,1061,96,346
255,90.3,834,68,275
170,90.1,605,55,199
204,90.9,775,69,253
285,90.1,811,83,278
240,90.8,917,101,309
304,90.6,1014,84,336
247,90.4,765,73,258
240,90.2,607,61,212
240,90.7,710,75,244
323,90.3,1247,131,421
255,90.4,723,73,250
228,90.2,668,71,230
225,90.6,714,66,240
238,90.4,772,63,255
255,90.4,1061,96,346
255,90.3,834,68,275
170,90.1,605,55,199
204,90.9,775,69,253
285,90.1,811,83,278
240,90.8,917,101,309
304,90.6,1014,84,336
247,90.4,765,73,258
240,90.2,607,61,212
240,90.7,710,75,244
323,90.3,1247,131,421
255,90.4,723,73,250
228,90.2,668,71,230
225,90.6,714,66,240
238,90.4,772,63,255
255,90.4,1061,96,346
255,90.3,834,68,275
170,90.1,605,55,199
204,90.9,775,69,253
285,90.1,811,83,278
240,90.8,917,101,309
304,90.6,1014,84,336
247,90.4,765,73,258
240,90.2,607,61,212
240,90.7,710,75,244
323,90.3,1247,131,421
255,90.4,723,73,250
228,90.2,668,71,230
225,90.6,714,66,240
238,90.4,772,63,255
255,90.4,1061,96,346
255,90.3,834,68,275
170,90.1,605,55,199
204,90.9,775,69,253
285,90.1,811,83,278
240,90.8,917,101,309
304,90.6,1014,84,336
247,90.4,765,73,258
240,90.2,607,61,212
240,90.7,710,75,244
323,90.3,1247,131,421
255,90.4,723,73,250
228,90.2,668,71,230
225,90.6,714,66,240
238,90.4,772,63,255
255,90.4,1061,96,346
255,90.3,834,68,275
170,90.1,605,55,199
204,90.9,775,69,253
285,90.1,811,83,278
240,90.8,917,101,309
304,90.6,1014,84,336
247,90.4,765,73,258
