제한시간,맵크기,커버리지,연산횟수,방향전환,소요시간
100,240,56.4,275,25,100
100,240,38,267,36,101
100,323,23.1,269,34,101
100,255,34.2,273,30,101
100,228,45.5,268,32,100
100,225,32.3,272,28,100
100,238,38.2,272,28,100
100,255,33.6,274,26,100
100,255,29.7,275,25,100
100,170,64.8,272,28,100
100,204,48.2,271,29,100
100,285,37.7,273,27,100
100,240,33.1,267,33,100
100,304,30,272,28,100
100,247,43.7,269,34,101
200,240,88,551,52,201
200,240,69.8,524,76,200
200,323,53.8,533,67,200
200,255,65.1,537,63,200
200,228,82.1,537,63,200
200,225,73.2,542,58,200
200,238,66.2,535,65,200
200,255,78.1,543,57,200
200,255,69,550,50,200
200,170,87.9,541,59,200
200,204,83.6,545,58,201
200,285,75.5,540,60,200
200,240,53.8,532,68,200
200,304,60,549,51,200
200,247,75.6,534,66,200
300,240,97,818,82,300
300,240,100,795,105,300
300,323,73.8,797,103,300
300,255,97.9,802,98,300
300,228,100,805,98,301
300,225,100,807,96,301
300,238,92.6,816,87,301
300,255,97.9,809,91,300
300,255,89,831,69,300
300,170,101.1,739,79,300
300,204,100,816,84,300
300,285,80.1,811,89,300
300,240,96.9,802,98,300
300,304,86.7,827,76,301
300,247,90.4,805,95,300
400,240,100.8,1032,104,400
400,240,100.8,1051,139,400
400,323,94.9,1063,137,400
400,255,100,1074,126,400
400,228,100.8,1008,120,400
400,225,100.8,1022,118,400
400,238,100.7,1047,107,400
400,255,100,1077,123,400
400,255,100.7,1075,99,400
400,170,101.1,839,79,400
400,204,100.9,920,84,400
400,285,98,1078,122,400
400,240,100.8,1032,116,400
400,304,97.8,1097,106,401
400,247,100.7,1061,125,400
500,240,100.8,1132,104,500
500,240,100.8,1151,139,500
500,323,99.5,1333,170,501
500,255,100.7,1212,132,500
500,228,100.8,1108,120,500
500,225,100.8,1122,118,500
500,238,100.7,1147,107,500
500,255,100.7,1208,128,500
500,255,100.7,1175,99,500
500,170,101.1,939,79,500
500,204,100.9,1020,84,500
500,285,100.7,1233,133,500
500,240,100.8,1132,116,500
500,304,100.6,1345,129,500
500,247,100.7,1161,125,500
600,240,100.8,1232,104,600
600,240,100.8,1251,139,600
600,323,100.5,1571,195,600
600,255,100.7,1312,132,600
600,228,100.8,1208,120,600
600,225,100.8,1222,118,600
600,238,100.7,1247,107,600
600,255,100.7,1308,128,600
600,255,100.7,1275,99,600
600,170,101.1,1039,79,600
600,204,100.9,1120,84,600
600,285,100.7,1333,133,600
600,240,100.8,1232,116,600
600,304,100.6,1445,129,600
600,247,100.7,1261,125,600
700,240,100.8,1332,104,700
700,240,100.8,1351,139,700
700,323,100.5,1671,195,700
700,255,100.7,1412,132,700
700,228,100.8,1308,120,700
700,225,100.8,1322,118,700
700,238,100.7,1347,107,700
700,255,100.7,1408,128,700
700,255,100.7,1375,99,700
700,170,101.1,1139,79,700
700,204,100.9,1220,84,700
700,285,100.7,1433,133,700
700,240,100.8,1332,116,700
700,304,100.6,1545,129,700
700,247,100.7,1361,125,700
800,240,100.8,1432,104,800
800,240,100.8,1451,139,800
800,323,100.5,1771,195,800
800,255,100.7,1512,132,800
800,228,100.8,1408,120,800
800,225,100.8,1422,118,800
800,238,100.7,1447,107,800
800,255,100.7,1508,128,800
800,255,100.7,1475,99,800
800,170,101.1,1239,79,800
800,204,100.9,1320,84,800
800,285,100.7,1533,133,800
800,240,100.8,1432,116,800
800,304,100.6,1645,129,800
800,247,100.7,1461,125,800
900,240,100.8,1532,104,900
900,240,100.8,1551,139,900
900,323,100.5,1871,195,900
900,255,100.7,1612,132,900
900,228,100.8,1508,120,900
900,225,100.8,1522,118,900
900,238,100.7,1547,107,900
900,255,100.7,1608,128,900
900,255,100.7,1575,99,900
900,170,101.1,1339,79,900
900,204,100.9,1420,84,900
900,285,100.7,1633,133,900
900,240,100.8,1532,116,900
900,304,100.6,1745,129,900
900,247,100.7,1561,125,900
1000,240,100.8,1632,104,1000
1000,240,100.8,1651,139,1000
1000,323,100.5,1971,195,1000
1000,255,100.7,1712,132,1000
1000,228,100.8,1608,120,1000
1000,225,100.8,1622,118,1000
1000,238,100.7,1647,107,1000
1000,255,100.7,1708,128,1000
1000,255,100.7,1675,99,1000
1000,170,101.1,1439,79,1000
1000,204,100.9,1520,84,1000
1000,285,100.7,1733,133,1000
1000,240,100.8,1632,116,1000
1000,304,100.6,1845,129,1000
1000,247,100.7,1661,125,1000
